checkin_id	user_id	session_id	time	lat	lon	category	subcategory
6252854	100572	100572_AE_3	2012-12-28 16:08:55	25.197	55.279491	Shop & Service	Mall
21966583	100572	100572_AE_3	2012-12-28 17:27:10	25.195023	55.278152	Food	Pizza Place
9106580	100572	100572_AE_3	2012-12-28 22:05:50	24.4751	54.374048	Residence	Home (private)
19537485	10238	10238_AE_80	2013-02-28 03:26:27	25.267599	55.355375	Travel & Transport	General Travel
4237728	10238	10238_AE_80	2013-02-28 03:45:32	25.27268	55.295005	Outdoors & Recreation	Plaza
19877460	10238	10238_AE_80	2013-02-28 03:54:34	25.228159	55.261252	Food	Fast Food Restaurant
6531724	10238	10238_AE_80	2013-02-28 07:52:45	25.225262	55.290169	Professional & Other Places	Office
27058818	10238	10238_AE_80	2013-02-28 10:47:30	25.167523	55.214238	Travel & Transport	Road
29927713	10238	10238_AE_80	2013-02-28 11:37:04	25.156903	55.205691	Food	Coffee Shop
31617075	10238	10238_AE_80	2013-02-28 12:06:14	25.168833	55.227664	Shop & Service	Toy / Game Store
29399803	10238	10238_AE_80	2013-02-28 12:58:31	25.15896	55.256888	Nightlife Spot	Cocktail Bar
28153543	10238	10238_AE_80	2013-02-28 13:21:06	25.175014	55.256305	Travel & Transport	Rental Car Location
